Ticker,F1_Score,MDD_Mercado_%,MDD_Agente_%,Riesgo_Reducido
RLY,0.5,-0.53,-0.53,No
RNDV,0.0,-0.56,-0.56,Sí
RNSC,0.0,-1.17,-1.17,Sí
RPV,0.5,-1.15,0.0,Sí
RTH,0.5,-0.11,0.0,Sí
RTM,0.0,-0.51,-0.51,Sí
RWGV,0.5,-0.7,-0.46,Sí
RWJ,0.3,-1.08,-1.08,No
RWK,0.7667,-0.75,0.0,Sí
RWL,0.3,-0.38,-0.38,No
RYF,0.7667,-0.37,0.0,Sí
RYH,0.7667,-0.15,0.0,Sí
RYT,0.3333,-0.64,-0.64,Sí
RYU,0.3,-0.2,-0.2,Sí
RZV,0.5,-0.63,0.0,Sí
SCHB,0.2,-0.08,-0.08,No
SCHD,0.3,-0.27,-0.27,Sí
SCHF,0.3,-0.67,-0.67,No
SCHG,0.2,-0.77,-0.45,Sí
SCHO,0.0,-0.37,-0.37,Sí
SCHP,0.2,-0.97,-0.95,Sí
SCHR,0.3,-1.07,-1.07,No
SCHX,0.2,-0.22,-0.22,Sí
SCZ,0.5,-1.1,-1.1,Sí
SDG,0.0,-0.09,-0.09,No
SDY,0.0,-0.32,-0.32,Sí
SHYG,0.5,-0.14,-0.14,No
SIMS,0.4,0.0,0.0,No
SJNK,0.5,-0.2,-0.2,Sí
SKOR,0.3,-0.77,-0.77,Sí
SLQD,0.5,-0.51,-0.51,No
SLX,0.5,0.0,0.0,No
SLY,0.5,-0.94,0.0,Sí
SLYG,0.3,-0.55,-0.55,No
SLYV,0.3,-1.02,-1.02,Sí
SMH,0.5,-2.4,-0.68,Sí
SMIN,0.3,-0.67,-0.54,Sí
SMLF,0.7667,-1.14,0.0,Sí
SMMD,1.0,-0.21,0.0,Sí
SOXX,0.2,-2.28,-1.51,Sí
SPEM,0.6667,0.0,0.0,No
SPGM,0.5,-0.16,-0.16,No
SPGP,0.6667,0.0,0.0,No
SPHB,0.1,-0.16,0.0,Sí
SPHQ,0.7333,-0.18,-0.18,Sí
SPHY,0.3,-0.34,-0.34,Sí
SPIP,0.0,-0.96,-0.96,Sí
SPLG,0.5,-0.33,-0.25,Sí
SPMO,1.0,-0.94,0.0,Sí
SPSB,0.7333,-0.4,-0.4,No
SPSM,0.5,-0.78,0.0,Sí
SPTI,0.5,-1.0,-1.0,Sí
SPTL,0.5,-2.24,-2.21,Sí
SPTM,0.7667,-0.31,-0.2,Sí
SPTS,0.5,-0.37,-0.37,Sí
SPVM,0.5,-1.17,-1.17,Sí
SPXE,1.0,-0.39,0.0,Sí
SPXN,1.0,-0.55,0.0,Sí
SPY,0.5,-0.35,-0.12,Sí
SPYG,0.2,-0.87,-0.87,No
SPYV,0.5,-0.51,0.0,Sí
SPYX,0.5,-0.33,-0.2,Sí
SQLV,0.5,-0.81,0.0,Sí
SRLN,0.6667,0.0,0.0,No
SRVR,0.3,-0.28,-0.28,Sí
SSPY,0.5,-0.47,0.0,Sí
SUSA,1.0,-0.12,0.0,Sí
SUSB,0.3,-0.66,-0.66,No
SYLD,0.5,-1.53,0.0,Sí
TAXF,0.5,-0.47,-0.43,Sí
TDTF,0.3,-1.05,-1.05,No
THD,0.1,-0.03,0.0,Sí
TMFC,0.5,-0.98,-0.51,Sí
TOK,0.3,-0.27,-0.27,No
TPYP,0.3,-2.47,-2.47,No
TTAC,0.5,-0.62,-0.62,No
TTAI,0.3,-0.72,-0.72,Sí
TUR,0.0,0.0,0.0,No
UCON,0.3,-0.24,-0.24,No
UITB,0.3,-0.85,-0.85,No
ULST,0.7333,-0.1,0.0,Sí
URTH,0.5,-0.34,-0.31,Sí
USAI,0.5,-2.56,-2.56,No
USMF,0.5,-0.84,0.0,Sí
USSG,0.2,-0.39,-0.34,Sí
USTB,0.3,-0.23,-0.23,Sí
USVM,0.1,-0.67,0.0,Sí
UTES,0.2,-0.49,-0.49,Sí
VAW,0.2,-0.01,-0.01,No
VB,0.3,-0.38,-0.38,Sí
VBR,0.0,-0.65,-0.65,Sí
VCIT,0.3,-0.99,-0.99,No
VCR,1.0,-1.42,0.0,Sí
VCSH,0.5,-0.56,0.0,Sí
VDE,0.5,-3.68,0.0,Sí
VEA,0.3,-0.7,-0.7,Sí
VEGI,0.6667,0.0,0.0,No
VFH,0.7333,-0.33,0.0,Sí
VFMO,0.3,-1.23,-1.23,Sí
VFQY,0.7667,-0.74,0.0,Sí
VFVA,0.7667,-0.59,0.0,Sí
VGIT,0.0,-1.08,-1.08,No
VGLT,0.5,-2.18,0.0,Sí
VGSH,0.0,-0.41,-0.41,Sí
VGT,1.0,-0.85,0.0,Sí
VHT,0.5,-0.22,-0.22,Sí
VIG,0.5,-0.09,0.0,Sí
VIOG,0.0,-0.82,-0.82,Sí
VIOO,0.5,-1.03,0.0,Sí
VIOV,0.0,-1.09,-1.09,No
VLU,0.3,-0.53,-0.53,No
VNLA,0.0,-0.14,-0.14,No
VO,0.5,-0.17,-0.17,Sí
VOE,0.5,-0.47,0.0,Sí
VONE,0.7333,-0.18,0.0,Sí
VONG,0.2,-0.47,-0.37,Sí
VOO,0.5,-0.38,-0.09,Sí
VOOG,0.3333,-0.91,-0.91,Sí
VPC,0.3,-0.35,-0.35,No
VPL,0.1,-0.56,0.0,Sí
VPU,0.0,-0.47,-0.47,Sí
VRIG,0.0,-0.08,-0.08,Sí
VSDA,0.5,-0.29,-0.29,Sí
VSMV,0.5,-0.75,0.0,Sí
VTHR,0.7333,-0.21,0.0,Sí
VTV,0.5,-0.61,0.0,Sí
VUG,0.7333,-0.74,-0.21,Sí
VUSE,0.3,-0.57,-0.57,Sí
VV,1.0,-0.24,0.0,Sí
VWO,0.0,-0.02,-0.02,No
VWOB,0.2,-0.36,-0.36,Sí
VYMI,0.0,-0.03,-0.03,Sí
WFHY,0.5,-0.49,-0.49,No
WINC,0.3,-0.6,-0.6,Sí
WOMN,0.5,-0.63,-0.33,Sí
WTV,0.5,-0.61,0.0,Sí
XAR,0.3,-1.39,-1.39,Sí
XCEM,0.6667,0.0,0.0,No
XHB,0.6667,0.0,0.0,No
XLB,0.6667,0.0,0.0,No
XLE,0.5,-3.71,-3.71,No
XLF,1.0,-0.33,0.0,Sí
XLG,0.1,-0.9,-0.9,Sí
XLK,0.7333,-1.08,0.0,Sí
XLRE,0.8571,0.0,0.0,No
XLU,0.7667,-0.36,0.0,Sí
XLV,0.3333,-0.53,0.0,Sí
XLY,0.5,-1.7,0.0,Sí
XMHQ,0.1,-0.87,0.0,Sí
XMMO,0.3,-1.19,-1.19,No
XMVM,0.3,-0.67,-0.67,Sí
XSD,0.7667,-2.05,-0.4,Sí
XSMO,0.5,-1.85,-1.85,Sí
XSOE,0.3,-0.14,-0.14,No
XSVM,0.5,-1.46,-1.46,Sí
XTL,0.7333,-0.79,0.0,Sí
YLD,0.1,-0.08,0.0,Sí
ZROZ,0.2,-3.66,-3.66,No
